Date,Close
8/25/2014,33.21
8/26/2014,32.88
8/27/2014,32.99
8/28/2014,32.81
8/29/2014,32.6
9/2/2014,31.51
9/3/2014,31.68
9/4/2014,32.12
9/5/2014,32.94
9/8/2014,33.14
9/9/2014,31.98
9/10/2014,32.09
9/11/2014,32.04
9/12/2014,31.53
9/15/2014,30.02
9/16/2014,31.45
9/17/2014,31.98
9/18/2014,32.48
9/19/2014,31.63
9/22/2014,30.6
9/23/2014,31.2
9/24/2014,32.22
9/25/2014,31.7
9/26/2014,33.83
9/29/2014,34.5
9/30/2014,34.26
10/1/2014,33.5
10/2/2014,33.81
10/3/2014,33.94
10/6/2014,32.57
10/7/2014,31.87
10/8/2014,32.32
10/9/2014,30.64
10/10/2014,27.79
10/13/2014,27.03
10/14/2014,27.39
10/15/2014,27.54
10/16/2014,28.3
10/17/2014,28.77
10/20/2014,29.69
10/21/2014,31.19
10/22/2014,30.57
10/23/2014,30.89
10/24/2014,31.06
10/27/2014,32.3
10/28/2014,32.61
10/29/2014,32.28
10/30/2014,31.82
10/31/2014,33.09
11/3/2014,33.51
11/4/2014,33.37
11/5/2014,33.71
11/6/2014,33.35
11/7/2014,33.01
11/10/2014,33.09
11/11/2014,33.2
11/12/2014,32.91
11/13/2014,32.94
11/14/2014,32.62
11/17/2014,32.29
11/18/2014,32.87
11/19/2014,32.96
11/20/2014,33.21
11/21/2014,34.3
11/24/2014,34.73
11/25/2014,34.8
11/26/2014,35.62
11/28/2014,35.95
12/1/2014,34.99
12/2/2014,35.6
12/3/2014,36.1
12/4/2014,36.07
12/5/2014,36.49
12/8/2014,36.02
12/9/2014,35.66
12/10/2014,34.86
12/11/2014,35.19
12/12/2014,34
12/15/2014,33.35
12/16/2014,32.92
12/17/2014,33.83
12/18/2014,34.45
12/19/2014,34.49
12/22/2014,34.64
12/23/2014,34.97
12/24/2014,34.91
12/26/2014,35
12/29/2014,35.53
12/30/2014,35.4
12/31/2014,35.01
1/2/2015,34.75
1/5/2015,33.78
1/6/2015,32.87
1/7/2015,32.1
1/8/2015,33.67
1/9/2015,33.53
1/12/2015,31.66
1/13/2015,30.84
1/14/2015,30.05
1/15/2015,29.3
1/16/2015,28.99
1/20/2015,29.67
1/21/2015,30.49
1/22/2015,30.89
1/23/2015,30.95
1/26/2015,31.02
1/27/2015,29.65
1/28/2015,29.1
1/29/2015,29.71
1/30/2015,29.27
2/2/2015,28.44
2/3/2015,28.95
2/4/2015,29.03
2/5/2015,29.49
2/6/2015,28.91
2/9/2015,28.35
2/10/2015,31.09
2/11/2015,31.02
2/12/2015,31.94
2/13/2015,31.85
2/17/2015,32.33
2/18/2015,32.17
2/19/2015,31.81
2/20/2015,32.03
2/23/2015,31.4
2/24/2015,30.77
2/25/2015,30.48
2/26/2015,30.62
2/27/2015,30.67
3/2/2015,31.24
3/3/2015,29.66
3/4/2015,29.27
3/5/2015,29.28
3/6/2015,28.5
3/9/2015,28.66
3/10/2015,27.61
3/11/2015,27.88
3/12/2015,28.02
3/13/2015,28.72
3/16/2015,28.51
3/17/2015,27.66
3/18/2015,28.16
3/19/2015,28.05
3/20/2015,28.68
3/23/2015,28.02
3/24/2015,27.96
3/25/2015,26.57
3/26/2015,26.66
3/27/2015,26.68
3/30/2015,26.68
3/31/2015,27.13
4/1/2015,27.13
4/2/2015,26.73
4/6/2015,27.43
4/7/2015,26.87
4/8/2015,27.13
4/9/2015,27.82
4/10/2015,28.02
4/13/2015,27.88
4/14/2015,27.72
4/15/2015,28.17
4/16/2015,28.01
4/17/2015,28.02
4/20/2015,28.26
4/21/2015,28.55
4/22/2015,29.5
4/23/2015,29.52
4/24/2015,29.2
4/27/2015,29.27
4/28/2015,28.99
4/29/2015,28.87
4/30/2015,28.13
5/1/2015,28.99
5/4/2015,28.67
5/5/2015,28.04
5/6/2015,27.99
5/7/2015,27.27
5/8/2015,27.18
5/11/2015,27.75
5/12/2015,26.87
5/13/2015,27.19
5/14/2015,26.69
5/15/2015,26.33
5/18/2015,26.76
5/19/2015,26.31
5/20/2015,26.59
5/21/2015,26.9
5/22/2015,27.33
5/26/2015,27.32
5/27/2015,28.13
5/28/2015,28.28
5/29/2015,27.93
6/1/2015,28.42
6/2/2015,27.79
6/3/2015,27.08
6/4/2015,26.99
6/5/2015,26.59
6/8/2015,25.92
6/9/2015,25.19
6/10/2015,25.19
6/11/2015,25.02
6/12/2015,25.13
6/15/2015,24.24
6/16/2015,24.24
6/17/2015,24.48
6/18/2015,24.47
6/19/2015,24.47
6/22/2015,24.63
6/23/2015,24.49
6/24/2015,24.06
6/25/2015,24.02
6/26/2015,19.66
6/29/2015,18.73
6/30/2015,18.84
7/1/2015,18.78
7/2/2015,19.07
7/6/2015,18.32
7/7/2015,18.2
7/8/2015,17.63
7/9/2015,17.15
7/10/2015,17.57
7/13/2015,17.61
7/14/2015,19.61
7/15/2015,18.89
7/16/2015,19.61
7/17/2015,20.12
7/20/2015,18.89
7/21/2015,18.88
7/22/2015,18
7/23/2015,18.7
7/24/2015,18.34
7/27/2015,18.12
7/28/2015,19.75
7/29/2015,19.87
7/30/2015,19.9
7/31/2015,18.51
8/3/2015,19
8/4/2015,19.01
8/5/2015,18.91
8/6/2015,18.72
8/7/2015,18.44
8/10/2015,18.82
8/11/2015,17.88
8/12/2015,18.19
8/13/2015,17.7
8/14/2015,16.95
8/17/2015,17.22
8/18/2015,16.38
8/19/2015,15.9
8/20/2015,14.74
8/21/2015,14.53
8/24/2015,14.44
8/25/2015,14.27
8/26/2015,14.42
8/27/2015,15.67
8/28/2015,15.96
8/31/2015,16.41
9/1/2015,15.82
9/2/2015,16.29
9/3/2015,16.59
9/4/2015,16.82
9/8/2015,17.53
9/9/2015,16.96
9/10/2015,17.2
9/11/2015,16.8
9/14/2015,16.7
9/15/2015,16.52
9/16/2015,16.68
9/17/2015,16.41
9/18/2015,15.5
9/21/2015,15.75
9/22/2015,15.41
9/23/2015,14.81
9/24/2015,15.34
9/25/2015,14.91
9/28/2015,14.06
9/29/2015,14.38
9/30/2015,14.98
10/1/2015,14.77
10/2/2015,15.91
10/5/2015,17.57
10/6/2015,18.22
10/7/2015,18.62
10/8/2015,18.72
10/9/2015,18.16
10/12/2015,18.03
10/13/2015,18.18
10/14/2015,18.82
10/15/2015,18.66
10/16/2015,18.5
10/19/2015,19.16
10/20/2015,17.09
10/21/2015,16.43
10/22/2015,16.72
10/23/2015,17.24
10/26/2015,16.58
10/27/2015,16.68
10/28/2015,16.92
10/29/2015,16.21
10/30/2015,16.56
11/2/2015,17.09
11/3/2015,17.84
11/4/2015,17.44
11/5/2015,16.51
11/6/2015,16.45
11/9/2015,15.84
11/10/2015,15.55
11/11/2015,15.5
11/12/2015,15.35
11/13/2015,15
11/16/2015,14.89
11/17/2015,15.28
11/18/2015,15.61
11/19/2015,15.87
11/20/2015,15.43
11/23/2015,15.32
11/24/2015,15.63
11/25/2015,15.58
11/27/2015,15.56
11/30/2015,15.93
12/1/2015,16.55
12/2/2015,15.82
12/3/2015,15.61
12/4/2015,15.5
12/7/2015,14.85
12/8/2015,14.6
12/9/2015,14.32
12/10/2015,14.66
12/11/2015,14.04
12/14/2015,13.66
12/15/2015,14.18
12/16/2015,14.07
12/17/2015,14.32
12/18/2015,14.36
